Date,Transaction Description,Category,Amount,Type,Month
2020-01-02,Score each.,food & drink,1485.69,Expense,2020-01
2020-01-02,Quality throughout.,utilities,1475.58,Expense,2020-01
2020-01-04,Instead ahead despite measure ago.,rent,1185.08,Expense,2020-01
2020-01-05,Information last everything thank serve.,investment,2291.0,Income,2020-01
2020-01-13,Future choice whatever from.,food & drink,1126.88,Expense,2020-01
2020-01-14,Benefit suggest page southern.,shopping,448.68,Expense,2020-01
2020-01-18,By two bad fall pick.,food & drink,1520.03,Expense,2020-01
2020-01-19,Court attorney product significant world.,other,3287.0,Income,2020-01
2020-01-21,Herself law.,entertainment,1914.85,Expense,2020-01
2020-01-25,Have decide environment.,rent,766.06,Expense,2020-01
2020-01-25,Play move each left establish.,health & fitness,1211.41,Expense,2020-01
2020-01-26,Range successful simply.,salary,1077.09,Expense,2020-01
2020-01-29,Source husband.,shopping,166.81,Expense,2020-01
2020-01-30,Tree note responsibility.,health & fitness,1158.93,Expense,2020-01
2020-01-31,How trip learn enter.,food & drink,1325.91,Expense,2020-01
2020-01-31,Much section investment on gun.,rent,1712.08,Expense,2020-01
2020-01-31,Management sense technology check civil.,shopping,563.17,Expense,2020-01
2020-02-02,As high you more wife.,health & fitness,333.68,Expense,2020-02
2020-02-04,Race mr.,travel,1406.62,Expense,2020-02
2020-02-05,Born itself law west.,rent,1222.17,Expense,2020-02
2020-02-05,Seven medical blood personal.,investment,1838.0,Income,2020-02
2020-02-07,Current hear claim well two.,travel,1979.15,Expense,2020-02
2020-02-07,Food affect upon these story.,entertainment,1372.38,Expense,2020-02
2020-02-08,Around there water.,food & drink,465.81,Expense,2020-02
2020-02-08,Staff within mouth call.,other,3786.0,Income,2020-02
2020-02-09,Close month parent who up.,entertainment,1827.14,Expense,2020-02
2020-02-11,Human public health.,health & fitness,433.13,Expense,2020-02
2020-02-13,Building different full open.,salary,294.31,Expense,2020-02
2020-02-15,Detail audience piece director town.,other,4009.0,Income,2020-02
2020-02-16,Method everything.,shopping,730.37,Expense,2020-02
2020-02-16,Much rich think.,utilities,1023.96,Expense,2020-02
2020-02-18,Drug list imagine behind.,investment,1398.0,Income,2020-02
2020-02-19,Interest level rock pull.,investment,3958.0,Income,2020-02
2020-02-20,I fund.,shopping,769.42,Expense,2020-02
2020-02-26,Court movie cell.,travel,1942.45,Expense,2020-02
2020-02-27,Leg themselves away.,food & drink,1363.76,Expense,2020-02
2020-02-28,Anything yourself.,other,3286.0,Income,2020-02
2020-02-28,Unit support.,other,1795.0,Income,2020-02
2020-02-29,Magazine degree husband around.,travel,1944.06,Expense,2020-02
2020-03-03,World enter.,rent,1742.33,Expense,2020-03
2020-03-04,Institution whatever yet.,entertainment,314.15,Expense,2020-03
2020-03-04,Choice father why often.,food & drink,1201.9,Expense,2020-03
2020-03-09,Security arm.,rent,1858.91,Expense,2020-03
2020-03-09,Me system church whether.,travel,486.51,Expense,2020-03
2020-03-11,Attention attack technology.,rent,180.45,Expense,2020-03
2020-03-11,Walk now often.,rent,1956.19,Expense,2020-03
2020-03-12,Bank price north first end.,utilities,265.5,Expense,2020-03
2020-03-12,Enter capital population.,utilities,537.46,Expense,2020-03
2020-03-14,Upon very act perform.,shopping,1929.08,Expense,2020-03
2020-03-15,Available defense.,entertainment,1428.77,Expense,2020-03
2020-03-18,Value thing these.,health & fitness,881.82,Expense,2020-03
2020-03-21,Citizen street region.,rent,503.33,Expense,2020-03
2020-03-23,Property never.,investment,2385.0,Income,2020-03
2020-03-23,Enough threat score.,food & drink,151.28,Expense,2020-03
2020-03-24,Example decision garden.,entertainment,144.13,Expense,2020-03
